province,district_clean,sector,district_sector,disease,casetype,age_category_new,gender,periodname,year,month,Total
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,April 2020,2020,April,104.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,April 2021,2021,April,283.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,April 2022,2022,April,184.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,April 2023,2023,April,41.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,April 2024,2024,April,121.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,April 2025,2025,April,318.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,August 2020,2020,August,62.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,August 2021,2021,August,446.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,August 2022,2022,August,96.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,August 2023,2023,August,69.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,August 2024,2024,August,145.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,December 2020,2020,December,362.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,December 2021,2021,December,173.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,December 2022,2022,December,104.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,December 2023,2023,December,181.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,December 2024,2024,December,598.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,February 2020,2020,February,487.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,February 2021,2021,February,206.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,February 2022,2022,February,123.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,February 2023,2023,February,74.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,February 2024,2024,February,82.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,February 2025,2025,February,294.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,January 2020,2020,January,208.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,January 2021,2021,January,244.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,January 2022,2022,January,213.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,January 2023,2023,January,163.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,January 2024,2024,January,137.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,January 2025,2025,January,310.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,July 2020,2020,July,44.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,July 2021,2021,July,341.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,July 2022,2022,July,158.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,July 2023,2023,July,71.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,July 2024,2024,July,176.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,June 2020,2020,June,101.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,June 2021,2021,June,292.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,June 2022,2022,June,114.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,June 2023,2023,June,72.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,June 2024,2024,June,133.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,June 2025,2025,June,238.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,March 2020,2020,March,117.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,March 2021,2021,March,202.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,March 2022,2022,March,117.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,March 2023,2023,March,47.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,March 2024,2024,March,66.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,March 2025,2025,March,193.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,May 2020,2020,May,83.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,May 2021,2021,May,360.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,May 2022,2022,May,178.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,May 2023,2023,May,68.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,May 2024,2024,May,117.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,May 2025,2025,May,258.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,November 2020,2020,November,245.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,November 2021,2021,November,247.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,November 2022,2022,November,114.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,November 2023,2023,November,293.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,November 2024,2024,November,859.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,October 2020,2020,October,164.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,October 2021,2021,October,440.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,October 2022,2022,October,196.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,October 2023,2023,October,379.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,October 2024,2024,October,562.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,September 2020,2020,September,106.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,September 2021,2021,September,404.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,September 2022,2022,September,118.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,September 2023,2023,September,47.0
East,Bugesera,Gashora,Bugesera_Gashora,Malaria community,,,,September 2024,2024,September,369.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,April 2020,2020,April,245.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,April 2021,2021,April,715.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,April 2022,2022,April,193.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,April 2023,2023,April,115.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,April 2024,2024,April,64.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,April 2025,2025,April,57.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,August 2020,2020,August,603.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,August 2021,2021,August,286.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,August 2022,2022,August,111.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,August 2023,2023,August,41.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,August 2024,2024,August,54.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,December 2020,2020,December,695.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,December 2021,2021,December,132.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,December 2022,2022,December,271.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,December 2023,2023,December,43.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,December 2024,2024,December,93.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,February 2020,2020,February,384.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,February 2021,2021,February,558.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,February 2022,2022,February,105.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,February 2023,2023,February,94.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,February 2024,2024,February,94.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,February 2025,2025,February,40.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,January 2020,2020,January,282.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,January 2021,2021,January,756.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,January 2022,2022,January,240.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,January 2023,2023,January,256.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,January 2024,2024,January,73.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,January 2025,2025,January,63.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,July 2020,2020,July,458.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,July 2021,2021,July,314.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,July 2022,2022,July,92.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,July 2023,2023,July,45.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,July 2024,2024,July,36.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,June 2020,2020,June,399.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,June 2021,2021,June,391.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,June 2022,2022,June,149.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,June 2023,2023,June,116.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,June 2024,2024,June,44.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,June 2025,2025,June,33.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,March 2020,2020,March,221.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,March 2021,2021,March,963.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,March 2022,2022,March,61.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,March 2023,2023,March,80.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,March 2024,2024,March,65.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,March 2025,2025,March,40.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,May 2020,2020,May,414.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,May 2021,2021,May,1084.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,May 2022,2022,May,152.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,May 2023,2023,May,142.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,May 2024,2024,May,26.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,May 2025,2025,May,55.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,November 2020,2020,November,1146.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,November 2021,2021,November,193.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,November 2022,2022,November,91.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,November 2023,2023,November,62.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,November 2024,2024,November,157.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,October 2020,2020,October,949.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,October 2021,2021,October,277.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,October 2022,2022,October,109.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,October 2023,2023,October,56.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,October 2024,2024,October,95.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,September 2020,2020,September,796.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,September 2021,2021,September,128.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,September 2022,2022,September,104.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,September 2023,2023,September,27.0
East,Bugesera,Juru,Bugesera_Juru,Malaria community,,,,September 2024,2024,September,60.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,April 2020,2020,April,354.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,April 2021,2021,April,1006.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,April 2022,2022,April,510.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,April 2023,2023,April,67.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,April 2024,2024,April,475.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,April 2025,2025,April,693.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,August 2020,2020,August,10.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,August 2021,2021,August,536.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,August 2022,2022,August,511.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,August 2023,2023,August,252.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,August 2024,2024,August,522.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,December 2020,2020,December,1513.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,December 2021,2021,December,337.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,December 2022,2022,December,146.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,December 2023,2023,December,259.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,December 2024,2024,December,1228.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,February 2020,2020,February,170.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,February 2021,2021,February,998.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,February 2022,2022,February,378.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,February 2023,2023,February,131.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,February 2024,2024,February,325.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,February 2025,2025,February,741.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,January 2020,2020,January,739.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,January 2021,2021,January,1134.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,January 2022,2022,January,370.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,January 2023,2023,January,64.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,January 2024,2024,January,254.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,January 2025,2025,January,802.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2020,2020,July,60.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2021,2021,July,578.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2022,2022,July,473.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2023,2023,July,290.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,July 2024,2024,July,244.0
East,Bugesera,Kamabuye,Bugesera_Kamabuye,Malaria community,,,,June 2020,2020,June,86.0
